"","x"
"1",-10.386757468887
"2",-9.0332963613981
"3",-6.78898337868737
"4",-6.81522551508989
"5",-7.5629427725499
"6",-15.0748464489643
"7",-8.29119288038919
"8",-9.78850352327547
"9",-8.22513962771676
"10",-7.23155373030103
"11",-13.0244204839907
"12",-6.02692910309069
"13",-9.66792157024649
"14",-12.7086995178008
"15",-9.21080140284993
"16",-6.17749209768797
"17",-13.9173276223164
"18",-8.84169721836555
"19",-8.94601079864285
"20",-6.72208833776512
"21",-6.43259254748546
"22",-9.08292182490135
"23",-8.29804304528982
"24",-7.49603609619455
"25",-6.13144411587839
"26",-10.1008012268717
"27",-7.48008670165092
"28",-6.31498255388198
"29",-13.4242897266828
"30",-9.2056118650273
"31",-5.50830273376209
"32",-12.0267530921023
"33",-6.40164791493616
"34",-9.72295829362309
"35",-11.3009052733399
"36",-6.8753115585255
"37",-7.74004107329932
"38",-8.68882007182045
"39",-7.84723997494416
"40",-5.29699210259101
"41",-7.78296159564929
"42",-9.28649797148532
"43",-7.51685640338133
"44",-7.7927403867108
"45",-6.71520115960805
"46",-8.6657698423251
"47",-8.20193977341256
"48",-7.09982773661982
"49",-9.26471880332528
"50",-9.57521519037999
"51",-7.47156130645815
"52",-8.8821201108783
"53",-6.53753717022329
"54",-11.9564109858559
"55",-7.81760728107375
"56",-8.7562258494934
"57",-8.3288302986323
"58",-10.6089280434934
"59",-6.30291362791094
"60",-7.70260295556547
"61",-9.73783819676186
"62",-9.2259317513935
"63",-8.17306844365496
"64",-9.19706928315589
"65",-11.7992035594568
"66",-7.66919443084188
"67",-13.9179550102626
"68",-10.4440506212199
"69",-6.7705611189336
"70",-11.1498699198186
"71",-8.10207152029738
"72",-8.65471152526838
"73",-7.45366162978125
"74",-7.67824923285421
"75",-13.8582543215512
"76",-7.23163628345313
"77",-9.14122007867518
"78",-8.94651585919005
"79",-6.98733599727159
"80",-12.7113805702228
"81",-10.5447296028338
"82",-8.17781132696221
"83",-13.0083031812196
"84",-7.27620833520197
"85",-7.9296703949587
"86",-8.34432014615768
"87",-8.59908648495209
"88",-7.31339847787989
"89",-12.4459853057215
"90",-8.5750031526703
"91",-8.93366083712841
"92",-11.9712113120125
"93",-13.7945126139413
"94",-11.3081674020472
"95",-11.3212553348949
"96",-10.195035188057
"97",-13.146862989725
"98",-7.47878304267766
"99",-8.72911144686146
"100",-13.1690716380869
"101",-9.5564321605855
"102",-11.5435679480388
"103",-6.97348467170195
"104",-12.1438526722887
"105",-10.0644003363584
"106",-7.68459484414618
"107",-13.0343636882032
"108",-9.40663830914616
"109",-9.52815451407678
"110",-10.8696810777002
"111",-7.07097498120245
"112",-11.9310102573028
"113",-7.85595053407642
"114",-12.7916164429642
"115",-11.2831807618013
"116",-11.0320370057692
"117",-7.38306820248144
"118",-10.4740443665888
"119",-7.03794134895143
"120",-9.50229794113099
"121",-15.7367194080742
"122",-8.94275659927474
"123",-11.2385460947485
"124",-15.0691928331809
"125",-7.51949114455076
"126",-11.5903738474486
"127",-11.630438800514
"128",-11.8995362131561
"129",-10.7795656307069
"130",-8.86317660157105
"131",-14.4183097140368
