"","x"
"1",-7.04422289492845
"2",-7.50789982694704
"3",-5.92859104930459
"4",-3.17271946213973
"5",-5.86263110177427
"6",-4.79393327371727
"7",-6.47785915407923
"8",-18.042055068268
"9",-4.98290873360485
"10",-7.43903723674573
"11",-15.7196650460549
"12",-6.02152383502404
"13",-7.10311471873153
"14",-8.30469917204062
"15",-7.89772567331288
"16",-9.80831818115849
"17",-7.61783280314719
"18",-8.27116239574391
"19",-7.08695511075599
"20",-8.13169044560196
"21",-8.82350976781347
"22",-7.19685502458109
"23",-8.91546262206663
"24",-10.7810838630363
"25",-8.38938395631903
"26",-9.14587854569224
"27",-7.5975050249286
"28",-9.62603882672285
"29",-10.9979660230358
"30",-8.5384932877854
"31",-9.3567337631374
"32",-8.34631277001254
"33",-6.35095630757576
"34",-9.81751266699678
"35",-10.150351768403
"36",-6.68793755647563
"37",-10.3247682724834
"38",-7.6687494707636
"39",-7.23243970391632
"40",-8.15584383215865
"41",-7.60906278231683
"42",-9.78773212016715
"43",-7.06756588262205
"44",-11.9355296058194
"45",-7.66049622939102
"46",-7.76901913330786
"47",-7.34331910599439
"48",-12.971416500978
"49",-12.8224151163301
"50",-8.70997553606456
"51",-10.8235993164284
"52",-7.32784008934687
"53",-11.0475471007416
"54",-8.62958361805812
"55",-11.5226534320437
"56",-6.65633082861051
"57",-9.11080148193806
"58",-13.8048673507806
"59",-9.55416422386
"60",-5.38583915073716
"61",-8.17231699273
"62",-9.56763641688167
"63",-12.889159120515
"64",-16.3274378271652
"65",-7.37029023721159
"66",-14.603192198276
"67",-9.1778926524602
"68",-7.23624613384652
"69",-12.3297879757145
"70",-8.56339226684135
"71",-7.54434645695367
"72",-9.14919094365891
"73",-14.3609202911468
"74",-8.31088710535863
"75",-8.40961467276975
"76",-9.6826115179949
"77",-12.3525444516913
"78",-8.66311079627499
"79",-10.6142371005115
"80",-9.8094331328319
"81",-9.10936407396122
"82",-7.8619028482886
"83",-11.7804654344831
"84",-10.052367091748
"85",-9.52615057594333
"86",-12.0761395471101
"87",-10.5905684896849
"88",-8.48856603572379
"89",-8.3461619354305
"90",-12.1202718629566
"91",-12.2148895501932
"92",-9.06051087995039
"93",-11.3891378808573
"94",-7.78226339004864
"95",-12.2022615260409
"96",-11.7249919615933
"97",-15.7868749734043
"98",-12.2704740064667
"99",-16.2277754902697
"100",-9.7416738935606
"101",-13.1811487546377
"102",-7.88487322117574
"103",-10.9600544186313
"104",-10.4436676873001
"105",-14.0240886482324
"106",-9.31946078710796
"107",-9.2990015444042
"108",-15.8109107962814
"109",-9.47091784067051
"110",-15.792538854061
"111",-16.506524299943
"112",-7.75755803490788
"113",-7.9931401488617
"114",-12.7068308930193
"115",-9.71010581720138
"116",-9.7356073438091
"117",-11.5033441514986
"118",-9.0535542322541
"119",-9.3235112086012
"120",-7.2237767303247
"121",-11.964067617632
"122",-8.7986220514993
"123",-11.8220085336606
"124",-10.8168029386378
"125",-14.3283380582858
"126",-6.26723825662804
"127",-18.9445855734261
"128",-12.279237296941
"129",-10.6060266905907
"130",-9.94085884121014
"131",-13.5670638355658
