"","x"
"1",-11.6736803712541
"2",-8.167825207882
"3",-8.82809865573899
"4",-7.25031202106872
"5",-12.5476279458353
"6",-12.3070817786068
"7",-10.5897811367458
"8",-8.98100389792295
"9",-9.95866941164148
"10",-11.7020649721691
"11",-7.89630432917506
"12",-8.87751203444693
"13",-8.72400513534098
"14",-7.90280653194165
"15",-9.55353093605764
"16",-9.98791866585809
"17",-8.36844148952258
"18",-10.9048714695745
"19",-8.1432882194605
"20",-10.8596728565831
"21",-14.1115319204378
"22",-11.0675309535198
"23",-7.7968097103245
"24",-11.5080434750317
"25",-10.5034867797564
"26",-11.1680951583487
"27",-9.02235583007362
"28",-13.0815350751379
"29",-10.0088396504176
"30",-10.1862745092136
"31",-8.35816256288513
"32",-12.8468039391539
"33",-9.11487795335597
"34",-10.6671981344587
"35",-11.9179653082728
"36",-9.09277372897614
"37",-9.4392277721828
"38",-9.8373069425646
"39",-8.36276813704237
"40",-9.96796094100429
"41",-11.0273240032519
"42",-8.03077564985467
"43",-7.99669973471567
"44",-15.5393537996778
"45",-10.6990293236361
"46",-12.3488567891364
"47",-9.0682736708466
"48",-11.8519361952869
"49",-9.59583571302295
"50",-7.03566198475311
"51",-8.77722247206583
"52",-8.57407801269239
"53",-10.1947792150493
"54",-9.77862629001462
"55",-8.95906948223624
"56",-8.06002693626617
"57",-9.66656983717004
"58",-9.65571606828663
"59",-10.3489766142922
"60",-14.6213668100292
"61",-8.74605491622873
"62",-9.48660545315483
"63",-9.6035536998375
"64",-10.4851331982559
"65",-7.68758513933664
"66",-10.7102070380476
"67",-14.0381424000128
"68",-11.4053538847991
"69",-9.44597625338541
"70",-12.7555908369065
"71",-9.61160215504504
"72",-13.8531737130614
"73",-11.0185782046593
"74",-11.0657892229993
"75",-11.8911481175951
"76",-9.39620661882074
"77",-11.2086991275261
"78",-10.3112601296879
"79",-11.1454798505405
"80",-9.83935709790204
"81",-8.85002899576097
"82",-10.3941700988428
"83",-14.7117440136544
"84",-12.9224225071042
"85",-10.9821622864783
"86",-10.8260423902287
"87",-8.89206991208837
"88",-7.82995870602106
"89",-11.4882180140644
"90",-8.95770783236691
"91",-11.0603946974438
"92",-13.204738140975
"93",-13.410534050127
"94",-9.21522460289431
"95",-13.6371684439815
"96",-10.7235568553482
"97",-11.0999728264883
"98",-9.50170929198595
"99",-11.4371958888505
"100",-9.37295779076687
"101",-11.3889461885473
"102",-13.7651929166717
"103",-10.6496167751175
"104",-12.7783295689269
"105",-9.79841878286029
"106",-10.296706726727
"107",-9.07455409146593
"108",-12.063147282923
"109",-13.4918018142986
"110",-9.10336078902841
"111",-9.88968785367823
"112",-9.61023561065747
"113",-14.06563273246
"114",-10.4202327736919
"115",-11.4894632677653
"116",-9.21809176034544
"117",-8.66575869684662
"118",-14.1920465417701
"119",-11.8381483230791
"120",-11.3475369647728
"121",-9.27238170735811
"122",-9.12567339838656
"123",-7.89740464068935
"124",-13.2660828891571
"125",-9.4741834028385
"126",-8.31466188253649
"127",-9.57813415573297
"128",-13.9087364863229
"129",-10.2808496226367
"130",-9.31619349248249
"131",-9.45437160737062
