"","x"
"1",-8.60916502885266
"2",-6.51326751282521
"3",-5.71560169456659
"4",-8.96012541002471
"5",-5.14965145944453
"6",-8.88622360382595
"7",-4.31177504415216
"8",-10.4717607408041
"9",-4.80813343468451
"10",-6.31615177373908
"11",-10.1622787831708
"12",-6.08628081320094
"13",-6.9604999415984
"14",-5.59335401006539
"15",-8.74272082158691
"16",-6.73294275995365
"17",-6.89882085634546
"18",-4.45328508627027
"19",-9.00539377422666
"20",-7.31445510868006
"21",-8.35127436041976
"22",-11.9598273163274
"23",-6.39687996222482
"24",-5.88714940897398
"25",-5.98093304963692
"26",-7.09096907106075
"27",-8.7396961271768
"28",-7.62973127406075
"29",-5.91710797431707
"30",-5.34114158990798
"31",-6.35454998847818
"32",-7.31395426154947
"33",-9.24293005250273
"34",-5.58866847640267
"35",-5.40245909305054
"36",-5.5213960788078
"37",-5.475291775154
"38",-10.0563433438674
"39",-6.68615201939306
"40",-9.28302294022875
"41",-4.83161411712785
"42",-6.44072029914694
"43",-7.31196033715969
"44",-7.05976042070538
"45",-6.62091799380434
"46",-6.52005465996189
"47",-7.53432703864623
"48",-8.86341096347589
"49",-7.11401564378938
"50",-9.915588203078
"51",-8.73456296376493
"52",-5.93778090783357
"53",-9.29347191848537
"54",-7.71103170558678
"55",-11.6608035953845
"56",-8.00148739116221
"57",-9.26766148195204
"58",-10.3063078244695
"59",-10.4590101216027
"60",-11.1076584639725
"61",-7.4257613238233
"62",-8.51490272363652
"63",-6.90868570848211
"64",-10.7338957173208
"65",-9.70287485748961
"66",-7.01247486173151
"67",-11.3696824068039
"68",-7.69781203468714
"69",-7.58278826090098
"70",-12.6870904178286
"71",-6.79481668578677
"72",-13.2463837167462
"73",-9.76935099471443
"74",-5.88187836167948
"75",-6.27039125317383
"76",-8.37788337639761
"77",-10.451004628895
"78",-10.386757468887
"79",-9.0332963613981
"80",-6.78898337868737
"81",-6.81522551508989
"82",-7.5629427725499
"83",-15.0748464489643
"84",-8.29119288038919
"85",-9.78850352327547
"86",-8.22513962771676
"87",-7.23155373030103
"88",-13.0244204839907
"89",-6.02692910309069
"90",-9.66792157024649
"91",-12.7086995178008
"92",-9.21080140284993
"93",-6.17749209768797
"94",-13.9173276223164
"95",-8.84169721836555
"96",-8.94601079864285
"97",-6.72208833776512
"98",-6.43259254748546
"99",-9.08292182490135
"100",-8.29804304528982
"101",-7.49603609619455
"102",-6.13144411587839
"103",-10.1008012268717
"104",-7.48008670165092
"105",-6.31498255388198
"106",-13.4242897266828
"107",-9.2056118650273
"108",-5.50830273376209
"109",-12.0267530921023
"110",-6.40164791493616
"111",-9.72295829362309
"112",-11.3009052733399
"113",-6.8753115585255
"114",-7.74004107329932
"115",-8.68882007182045
"116",-7.84723997494416
"117",-5.29699210259101
"118",-7.78296159564929
"119",-9.28649797148532
"120",-7.51685640338133
"121",-7.7927403867108
"122",-6.71520115960805
"123",-8.6657698423251
"124",-8.20193977341256
"125",-7.09982773661982
"126",-9.26471880332528
"127",-9.57521519037999
"128",-7.47156130645815
"129",-8.8821201108783
"130",-6.53753717022329
"131",-11.9564109858559
