"","x"
"1",11.0423213226275
"2",11.6987308585749
"3",12.6999905011187
"4",9.33810254316819
"5",9.57676212034
"6",12.0426723987969
"7",9.05213944931091
"8",8.76411303802711
"9",9.09421216104696
"10",7.93244063027333
"11",7.62064944217688
"12",10.7642252850647
"13",10.9438186329013
"14",10.6451577582931
"15",8.87630676510509
"16",9.24480082183052
"17",8.49973716150776
"18",8.68977794997006
"19",10.4153775519284
"20",6.93848068379585
"21",11.6880770568488
"22",9.45167442719413
"23",8.67944704862321
"24",12.2092003346438
"25",9.27529631753264
"26",11.7962450591344
"27",8.0346838978173
"28",10.9273466203663
"29",10.0460001778208
"30",12.2507946995815
"31",13.7258359829832
"32",8.8286353377015
"33",9.26704491416376
"34",12.3497746976698
"35",13.1348960476941
"36",9.17888728894744
"37",12.1233941619236
"38",15.5071695830229
"39",11.1794161590744
"40",8.53632753757032
"41",17.2946508784723
"42",12.7393252828979
"43",10.796469977516
"44",11.0222691282279
"45",16.8680404953227
"46",15.4027930471592
"47",9.71262510518219
"48",10.2923342399029
"49",16.0581705772437
"50",10.5623515502269
"51",10.558874681226
"52",9.87542964229455
"53",10.4084507657874
"54",12.7493565353482
"55",14.423883861969
"56",10.3404693097486
"57",20.1245202261497
"58",11.4441730116942
"59",9.80882396311658
"60",9.67471144993978
"61",12.7728155561396
"62",10.2735174237524
"63",11.3831101402033
"64",10.016105221522
"65",12.6773865721032
"66",14.5710119419911
"67",8.99261965892577
"68",14.158180938631
"69",8.2545784922448
"70",10.7978974768542
"71",9.64209528982743
"72",13.7778723739669
"73",12.1813504769169
"74",9.8887066412572
"75",10.8999334206456
"76",7.51158224184336
"77",10.0834000699499
"78",8.69436511305099
"79",8.19096879863626
"80",8.66714546150514
"81",7.4729095949134
"82",10.0454496034772
"83",6.86206635036542
"84",8.35872486176519
"85",6.24830782157593
"86",11.3695534651267
"87",8.57495726978616
"88",8.82165149554281
"89",7.94779533765922
"90",13.6079297652093
"91",8.50960339729257
"92",10.5451963678646
"93",6.48962337050753
"94",8.39616210972788
"95",8.69981383840673
"96",15.8927804564409
"97",10.3483114195951
"98",6.8300141796804
"99",8.78420423045862
"100",8.1297282957711
"101",7.31145367682614
"102",11.0173971313111
"103",6.73873325939222
"104",8.60538526190579
"105",9.02407616997075
"106",10.2515283501095
"107",7.04626951374765
"108",10.8615597636202
"109",12.6347618900375
"110",7.50200419544407
"111",14.9897195764136
"112",13.3170952553389
"113",13.264598693666
"114",11.1158133816499
"115",8.26151625004838
"116",11.6279933199488
"117",8.17233581259566
"118",11.7143130018819
"119",12.3955621064789
"120",6.94643847620199
"121",9.18787299962258
"122",11.4640849980116
"123",10.736463188615
"124",10.4579427518514
"125",6.92630622984404
"126",9.3313956084043
"127",9.86626883165676
"128",14.4369971530013
"129",8.34952037524951
"130",17.5424716720999
"131",13.4573732809209
"132",7.09340796028802
"133",10.2380374315595
"134",8.94538231107443
"135",8.71352635792647
"136",7.58729157005733
"137",9.6023651924705
"138",8.98365326518051
"139",13.7191546129846
"140",9.94611124775862
"141",10.9651432685844
"142",19.3289457887102
"143",7.63137930226215
"144",10.6797981114324
"145",10.2150263604368
"146",13.339802491769
"147",11.1966630413116
"148",10.4121824162119
"149",10.2428862144206
"150",7.1383731948128
"151",10.4505987546256
"152",11.0311694156706
"153",18.0484080043273
"154",8.81391515270482
"155",13.0276750248974
"156",8.15669930064327
"157",11.2189297064619
"158",11.0228693707055
"159",8.46549913211413
"160",11.434134978868
"161",9.73702546591571
"162",8.19829998573822
"163",8.43720383373365
"164",15.6946583215904
"165",7.04641674543211
"166",9.40317797431052
"167",8.65219984527348
"168",8.93583323729233
"169",10.0908575265825
"170",10.6648694143991
"171",10.6520626570172
"172",8.99611162416719
"173",14.4917250601144
"174",11.2866141315129
"175",15.8348265267902
"176",14.1957597815137
"177",8.37163102549235
"178",11.9323573292394
"179",10.667684947028
"180",9.5754618532263
"181",7.70803723905289
"182",10.3460381526368
"183",10.6573939931032
"184",11.9139259750707
"185",11.5632359532815
"186",10.844843512507
"187",9.6479133499551
"188",7.73971510519991
"189",14.610491614805
"190",12.8181844579953
"191",10.1916422344158
"192",17.666041808856
"193",11.1356604696035
"194",9.88940854063203
"195",11.2307816888937
"196",12.4019185821363
"197",9.85523388323202
"198",8.28573594187225
"199",9.10817946362172
"200",12.6691398112752
"201",12.0735446096277
"202",12.2873940278813
"203",21.9780892487571
"204",11.8359940510487
"205",13.5802124152081
"206",15.460715882957
"207",13.9254088149798
"208",9.71773039558831
"209",11.2107428118104
"210",7.897076993276
"211",11.0819231555293
"212",12.3117750522286
"213",9.64359502307286
"214",10.8632033290213
"215",10.9253811357874
"216",8.87787266862873
