"","x"
"1",6.95469677765219
"2",14.2776391877847
"3",12.0330954024543
"4",8.16155283334177
"5",11.4400073425232
"6",8.39325147974388
"7",18.8453285052998
"8",9.99011461981241
"9",9.26882232140097
"10",11.1707597123046
"11",7.97534141149194
"12",19.6876988141181
"13",11.7456987012555
"14",10.2848824231323
"15",7.05588818572665
"16",11.1894460036979
"17",13.3418517428506
"18",11.1266689809752
"19",8.01226960656934
"20",13.6359724804709
"21",9.56251821410571
"22",8.13965339592972
"23",7.56408069656628
"24",9.92662040627479
"25",9.00343306546219
"26",9.41488005172092
"27",9.03775427699231
"28",7.3726818439667
"29",8.84360509218365
"30",16.3209443712642
"31",15.0499793038867
"32",8.61130731177862
"33",11.0110930538695
"34",7.5337319324036
"35",10.96087390678
"36",7.96955685220102
"37",7.51380201587315
"38",8.18805023185938
"39",8.6636163567465
"40",10.3777084367994
"41",9.42861197250502
"42",7.10041074470612
"43",11.3949951136572
"44",8.04214303971295
"45",7.46835333261224
"46",9.94012028204346
"47",8.83727002688559
"48",11.6753159480843
"49",10.3981021644505
"50",11.0053109272747
"51",8.38641128025867
"52",9.3522793349845
"53",10.1672728311169
"54",11.9869616517281
"55",8.96013098032732
"56",7.86185779023607
"57",11.2062247389465
"58",9.66096877481118
"59",8.42083861916868
"60",8.5772670534515
"61",10.9971914859704
"62",12.3944413875413
"63",7.01831873736504
"64",10.8383660034107
"65",7.7736696609811
"66",6.7546784646165
"67",10.182794316116
"68",8.56524929691325
"69",12.311231844795
"70",6.10944084656299
"71",8.08844905471814
"72",6.10923676335449
"73",6.27727669056422
"74",6.42496447439421
"75",6.52792422400652
"76",8.31678932155699
"77",12.4516130564378
"78",7.85869394608973
"79",11.3783222210082
"80",4.85929746426263
"81",5.83108363805932
"82",10.7879003921131
"83",6.42326461661844
"84",8.60916502885266
"85",6.51326751282521
"86",5.71560169456659
"87",8.96012541002471
"88",5.14965145944453
"89",8.88622360382595
"90",4.31177504415216
"91",10.4717607408041
"92",4.80813343468451
"93",6.31615177373908
"94",10.1622787831708
"95",6.08628081320094
"96",6.9604999415984
"97",5.59335401006539
"98",8.74272082158691
"99",6.73294275995365
"100",6.89882085634546
"101",4.45328508627027
"102",9.00539377422666
"103",7.31445510868006
"104",8.35127436041976
"105",11.9598273163274
"106",6.39687996222482
"107",5.88714940897398
"108",5.98093304963692
"109",7.09096907106075
"110",8.7396961271768
"111",7.62973127406075
"112",5.91710797431707
"113",5.34114158990798
"114",6.35454998847818
"115",7.31395426154947
"116",9.24293005250273
"117",5.58866847640267
"118",5.40245909305054
"119",5.5213960788078
"120",5.475291775154
"121",10.0563433438674
"122",6.68615201939306
"123",9.28302294022875
"124",4.83161411712785
"125",6.44072029914694
"126",7.31196033715969
"127",7.05976042070538
"128",6.62091799380434
"129",6.52005465996189
"130",7.53432703864623
"131",8.86341096347589
"132",7.11401564378938
"133",9.915588203078
"134",8.73456296376493
"135",5.93778090783357
"136",9.29347191848537
"137",7.71103170558678
"138",11.6608035953845
"139",8.00148739116221
"140",9.26766148195204
"141",10.3063078244695
"142",10.4590101216027
"143",11.1076584639725
"144",7.4257613238233
"145",8.51490272363652
"146",6.90868570848211
"147",10.7338957173208
"148",9.70287485748961
"149",7.01247486173151
"150",11.3696824068039
"151",7.69781203468714
"152",7.58278826090098
"153",12.6870904178286
"154",6.79481668578677
"155",13.2463837167462
"156",9.76935099471443
"157",5.88187836167948
"158",6.27039125317383
"159",8.37788337639761
"160",10.451004628895
"161",10.386757468887
"162",9.0332963613981
"163",6.78898337868737
"164",6.81522551508989
"165",7.5629427725499
"166",15.0748464489643
"167",8.29119288038919
"168",9.78850352327547
"169",8.22513962771676
"170",7.23155373030103
"171",13.0244204839907
"172",6.02692910309069
"173",9.66792157024649
"174",12.7086995178008
"175",9.21080140284993
"176",6.17749209768797
"177",13.9173276223164
"178",8.84169721836555
"179",8.94601079864285
"180",6.72208833776512
"181",6.43259254748546
"182",9.08292182490135
"183",8.29804304528982
"184",7.49603609619455
"185",6.13144411587839
"186",10.1008012268717
"187",7.48008670165092
"188",6.31498255388198
"189",13.4242897266828
"190",9.2056118650273
"191",5.50830273376209
"192",12.0267530921023
"193",6.40164791493616
"194",9.72295829362309
"195",11.3009052733399
"196",6.8753115585255
"197",7.74004107329932
"198",8.68882007182045
"199",7.84723997494416
"200",5.29699210259101
"201",7.78296159564929
"202",9.28649797148532
"203",7.51685640338133
"204",7.7927403867108
"205",6.71520115960805
"206",8.6657698423251
"207",8.20193977341256
"208",7.09982773661982
"209",9.26471880332528
"210",9.57521519037999
"211",7.47156130645815
"212",8.8821201108783
"213",6.53753717022329
"214",11.9564109858559
"215",7.81760728107375
"216",8.7562258494934
